auction_id,risk,sigma,N_potential,delta,kbar,n,win_score,win_b0,win_b2,win_e0,win_e2,epsilon,pay_final,overrun,skipped,scale_s
110,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0765078384550528,0.0765078384550528,0,2.22044604925031e-16,0.99087620215221,0.0190194393698495,0.0765078384550528,0,0,0.1
111,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0741033142270611,0.0741033142270611,0,2.22044604925031e-16,0.959070325981771,-0.0112772058781339,0.0741033142270611,0,0,0.1
112,H,0.0995,10,0.560677050330648,0.0216423268408614,3,0.08013974817303,0.08013974817303,0,0.135522899436431,0.987700715539258,-0.0863953214274533,0.08013974817303,0,0,0.1
113,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0744667426376399,0.0744667426376399,0,2.22044604925031e-16,0.963877606104451,0.0162556310263625,0.0744667426376399,0,0,0.1
114,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0767712850136938,0.0767712850136938,0,2.22044604925031e-16,0.985629678100641,-0.115720005685343,0.0767712850136938,0,0,0.1
115,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0759359977433542,0.0759359977433542,0,2.22044604925031e-16,0.974580904671209,-0.171341427760464,0.0759359977433542,0,0,0.1
116,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0912851109839375,0.0912851109839375,0,0.613107584443941,0.994138407757372,0.0114248607273845,0.0912851109839375,0,0,0.1
117,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0760851854656629,0.0760851854656629,0,2.22044604925031e-16,0.976554287596248,0.0570537018630504,0.0760851854656629,0,0,0.1
118,L,0.0837,10,0.560677050330648,0.0216423263814932,3,0.0747600584524586,0.0747600584524586,0,2.22044604925031e-16,0.967757418525981,0.16021536480334,0.0747600584524586,0,0,0.1
119,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0771759591919882,0.0771759591919882,0,2.22044604925031e-16,0.999713777713196,0.00376840214464144,0.0771759591919882,0,0,0.1
120,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0747717572620386,0.0747717572620386,0,2.22044604925031e-16,0.967912164712996,-0.00183093854259732,0.0747717572620386,0,0,0.1
121,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.075236835616758,0.075236835616758,0,2.22044604925031e-16,0.974064022144088,0.109507413646744,0.075236835616758,0,0,0.1
122,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.077211588074531,0.077211588074531,0,2.22044604925031e-16,0.991453793030613,0.0586309634492242,0.077211588074531,0,0,0.1
123,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.076344094674358,0.076344094674358,0,2.22044604925031e-16,0.979979012514027,-0.0297674343703776,0.076344094674358,0,0,0.1
124,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0768105356064622,0.0768105356064622,0,2.22044604925031e-16,0.986148866125712,-0.0519483816469594,0.0768105356064622,0,0,0.1
125,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0765918337028333,0.0765918337028333,0,2.22044604925031e-16,0.983255983866599,0.116903085755494,0.0765918337028333,0,0,0.1
126,H,0.0995,10,0.560677050330648,0.0216423268408614,8,0.0758808210898519,0.0758808210898519,0,0.00161043024866681,0.973346198000242,-0.183320889216105,0.0758808210898519,0,0,0.1
127,H,0.0995,10,0.560677050330648,0.0216423268408614,8,0.0883142076792684,0.0883142076792684,0,0.482812989057634,0.986955802160655,0.198863704463274,0.0883142076792684,0,0,0.1
128,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0752837803239767,0.0752837803239767,0,2.22044604925031e-16,0.965953690390416,-0.026751691626451,0.0752837803239767,0,0,0.1
129,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0754018534041324,0.0754018534041324,0,2.22044604925031e-16,0.976246797326076,0.0323739598512764,0.0754018534041324,0,0,0.1
130,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0876848543045028,0.0876848543045028,0,0.436609158285055,0.993115554628694,-0.128742683590253,0.0876848543045028,0,0,0.1
131,H,0.0995,10,0.560677050330648,0.0216423268408614,2,0.105858766843884,0.105858766843884,0,1.11670918292328,1.02030526249057,-0.228429282901925,0.105858766843884,0,0,0.1
132,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0766962907932877,0.0766962907932877,0,2.22044604925031e-16,0.984637691414692,0.0897499398947743,0.0766962907932877,0,0,0.1
133,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0901250355253807,0.0901250355253807,0,0.535875166332551,1.00300524440196,-0.0560832749351253,0.0901250355253807,0,0,0.1
134,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0752758732956955,0.0752758732956955,0,2.22044604925031e-16,0.974580366366774,-0.0360425172417109,0.0752758732956955,0,0,0.1
135,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0769061493904973,0.0769061493904973,0,2.22044604925031e-16,0.987413598430885,-0.0912429555647763,0.0769061493904973,0,0,0.1
